"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"4","ACB6237D","GO301_24_2073_4","Grand Central","2073","1","6B58EDF0W","0"
"4","75906070","GO301_24_2073_5","Grand Central","2073","1","6B58EDF0W","0"
"4","1BABE279","GO301_24_2073_6","Grand Central","2073","1","6B58EDF0W","0"
"4","4E60A4CA","GO301_24_2075","Grand Central","2075","1","6B58EDF0W","0"
"4","D6737EFE","GO301_24_2075_1","Grand Central","2075","1","6B58EDF0W","0"
"4","9D77641A","GO301_24_2075_2","Grand Central","2075","1","6B58EDF0W","0"
"4","BAD83C58","GO301_24_2076","Ronkonkoma","2076","0","6B58EDF0","0"
"4","32F3C296","GO301_24_2076_1","Ronkonkoma","2076","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2078","Ronkonkoma","2078","0","6B58EDF0","0"
"4","A8286891","GO301_24_2082","Ronkonkoma","2082","0","6B58EDF0","0"
"4","32F3C296","GO301_24_2082_1","Ronkonkoma","2082","0","6B58EDF0","0"
"4","E1798FF8","GO301_24_2103","Penn Station","2103","1","8BBA541AW","1"
"12","E1798FF8","GO301_24_2128","Jamaica","2128","0","76789C63","0"
"12","7DCD75B8","GO301_24_2350","Jamaica","2350","0","436E0248","0"
"12","7DCD75B8","GO301_24_2360","Jamaica","2360","0","436E0248","1"
"12","739405DE","GO301_24_2442","Jamaica","2442","0","5E489136","1"
"10","E1798FF8","GO301_24_2501","Penn Station","2501","1","9048A345W","1"
"10","E1798FF8","GO301_24_2503","Penn Station","2503","1","87AEE1EDW","1"
"10","E1798FF8","GO301_24_2601","Atlantic Terminal","2601","1","5556C818W","1"
"10","E1798FF8","GO301_24_2699","Grand Central","2699","1","457A40DCW","1"
"7","0C953F5A","GO301_24_2701","Penn Station","2701","1","A3EBB8CEW","0"
"7","A9E66463","GO301_24_2701_1","Penn Station","2701","1","A3EBB8CEW","0"
"7","E1798FF8","GO301_24_2702","Far Rockaway","2702","0","A3EBB8CE","0"
"7","0C953F5A","GO301_24_2703","Penn Station","2703","1","A3EBB8CEW","0"
"7","A9E66463","GO301_24_2703_1","Grand Central","2703","1","D895985AW","0"
"7","0C953F5A","GO301_24_2704","Far Rockaway","2704","0","A3EBB8CE","0"
"7","A9E66463","GO301_24_2704_1","Far Rockaway","2704","0","939E33CA","0"
"7","E1798FF8","GO301_24_2705","Penn Station","2705","1","A3EBB8CEW","0"
"7","E1798FF8","GO301_24_2706","Far Rockaway","2706","0","A3EBB8CE","0"
"7","E1798FF8","GO301_24_2710","Far Rockaway","2710","0","A3EBB8CE","0"
"7","E1798FF8","GO301_24_2711","Atlantic Terminal","2711","1","7703FCECW","1"
"7","E1798FF8","GO301_24_2712","Far Rockaway","2712","0","D895985A","0"
"7","E1798FF8","GO301_24_2713","Atlantic Terminal","2713","1","7703FCECW","1"
"12","E1798FF8","GO301_24_2714","Jamaica","2714","0","76789C63","0"
"7","E1798FF8","GO301_24_2715","Grand Central","2715","1","D895985AW","1"
"7","E1798FF8","GO301_24_2716","Far Rockaway","2716","0","D895985A","0"
"7","E1798FF8","GO301_24_2717","Atlantic Terminal","2717","1","7703FCECW","1"
"7","E1798FF8","GO301_24_2718","Far Rockaway","2718","0","D895985A","0"
"7","E1798FF8","GO301_24_2719","Grand Central","2719","1","D895985AW","1"
"7","E1798FF8","GO301_24_2720","Far Rockaway","2720","0","D895985A","0"
"7","E1798FF8","GO301_24_2721","Penn Station","2721","1","A3EBB8CEW","1"
"7","E1798FF8","GO301_24_2722","Far Rockaway","2722","0","D895985A","0"
"7","E1798FF8","GO301_24_2723","Atlantic Terminal","2723","1","7703FCECW","1"
"7","E1798FF8","GO301_24_2724","Far Rockaway","2724","0","D895985A","0"
"7","E1798FF8","GO301_24_2725","Penn Station","2725","1","A3EBB8CEW","1"
"7","E1798FF8","GO301_24_2727","Grand Central","2727","1","D895985AW","1"
"7","E1798FF8","GO301_24_2729","Penn Station","2729","1","A3EBB8CEW","1"
"7","E1798FF8","GO301_24_2731","Grand Central","2731","1","D895985AW","0"
"7","E1798FF8","GO301_24_2733","Grand Central","2733","1","D895985AW","0"
"7","E1798FF8","GO301_24_2735","Grand Central","2735","1","D895985AW","0"
"7","E1798FF8","GO301_24_2750","Far Rockaway","2750","0","D895985A","0"
"7","E1798FF8","GO301_24_2751","Grand Central","2751","1","D895985AW","0"
"7","E1798FF8","GO301_24_2752","Far Rockaway","2752","0","D895985A","0"
"7","E1798FF8","GO301_24_2753","Grand Central","2753","1","D895985AW","0"
"7","E1798FF8","GO301_24_2754","Far Rockaway","2754","0","D895985A","0"
"7","E1798FF8","GO301_24_2755","Grand Central","2755","1","D895985AW","0"
"7","E1798FF8","GO301_24_2756","Far Rockaway","2756","0","A3EBB8CE","0"
"7","E1798FF8","GO301_24_2757","Grand Central","2757","1","D895985AW","0"
"7","E1798FF8","GO301_24_2758","Far Rockaway","2758","0","D895985A","0"
"7","E1798FF8","GO301_24_2759","Grand Central","2759","1","D895985AW","0"
"7","E1798FF8","GO301_24_2760","Far Rockaway","2760","0","D895985A","1"
"7","E1798FF8","GO301_24_2761","Grand Central","2761","1","D895985AW","0"
"7","E1798FF8","GO301_24_2762","Far Rockaway","2762","0","3B0D077A","1"
"7","E1798FF8","GO301_24_2763","Penn Station","2763","1","A3EBB8CEW","0"
"7","E1798FF8","GO301_24_2765","Atlantic Terminal","2765","1","7703FCECW","0"
"7","E1798FF8","GO301_24_2766","Far Rockaway","2766","0","D895985A","1"
"7","E1798FF8","GO301_24_2767","Grand Central","2767","1","D895985AW","0"
"7","E1798FF8","GO301_24_2768","Far Rockaway","2768","0","D895985A","1"
"7","E1798FF8","GO301_24_2769","Grand Central","2769","1","D895985AW","0"
"7","E1798FF8","GO301_24_2770","Far Rockaway","2770","0","D895985A","1"
"7","E1798FF8","GO301_24_2771","Grand Central","2771","1","D895985AW","0"
"7","E1798FF8","GO301_24_2772","Far Rockaway","2772","0","A3EBB8CE","1"
"7","E1798FF8","GO301_24_2773","Grand Central","2773","1","D895985AW","0"
"7","E1798FF8","GO301_24_2774","Far Rockaway","2774","0","D895985A","1"
"7","E1798FF8","GO301_24_2775","Grand Central","2775","1","D895985AW","0"
"7","E1798FF8","GO301_24_2776","Far Rockaway","2776","0","D895985A","1"
"7","E1798FF8","GO301_24_2777","Penn Station","2777","1","A3EBB8CEW","0"
"7","E1798FF8","GO301_24_2778","Far Rockaway","2778","0","A3EBB8CE","1"
"7","E1798FF8","GO301_24_2779","Penn Station","2779","1","A3EBB8CEW","0"
"7","E1798FF8","GO301_24_2780","Far Rockaway","2780","0","D895985A","1"
"7","E1798FF8","GO301_24_2784","Far Rockaway","2784","0","A3EBB8CE","0"
"7","E1798FF8","GO301_24_2786","Far Rockaway","2786","0","D895985A","0"
"7","E1798FF8","GO301_24_2788","Far Rockaway","2788","0","D895985A","0"
"7","E1798FF8","GO301_24_2790","Far Rockaway","2790","0","A3EBB8CE","0"
"12","E1798FF8","GO301_24_2799","Penn Station","2799","1","436E0248W","1"
"12","E1798FF8","GO301_24_2800","Jamaica","2800","0","76789C63","0"
"12","E1798FF8","GO301_24_2801","Atlantic Terminal","2801","1","76789C63W","0"
"12","E1798FF8","GO301_24_2802","Jamaica","2802","0","76789C63","0"
"12","E1798FF8","GO301_24_2804","Jamaica","2804","0","76789C63","0"
"12","E1798FF8","GO301_24_2806","Jamaica","2806","0","76789C63","0"
"12","E1798FF8","GO301_24_2807","Atlantic Terminal","2807","1","76789C63W","0"
"12","E1798FF8","GO301_24_2808","Jamaica","2808","0","76789C63","0"
"12","E1798FF8","GO301_24_2809","Atlantic Terminal","2809","1","76789C63W","0"
"12","E1798FF8","GO301_24_2810","Jamaica","2810","0","76789C63","0"
"12","E1798FF8","GO301_24_2817","Atlantic Terminal","2817","1","76789C63W","0"
"12","E1798FF8","GO301_24_2818","Jamaica","2818","0","76789C63","0"
"12","E1798FF8","GO301_24_2819","Atlantic Terminal","2819","1","76789C63W","0"
"12","E1798FF8","GO301_24_2820","Jamaica","2820","0","76789C63","0"
"12","E1798FF8","GO301_24_2821","Atlantic Terminal","2821","1","76789C63W","0"
"12","E1798FF8","GO301_24_2822","Jamaica","2822","0","76789C63","0"
"12","E1798FF8","GO301_24_2824","Jamaica","2824","0","76789C63","0"
"12","E1798FF8","GO301_24_2826","Jamaica","2826","0","76789C63","0"
"12","E1798FF8","GO301_24_2827","Atlantic Terminal","2827","1","76789C63W","1"
"12","E1798FF8","GO301_24_2832","Jamaica","2832","0","76789C63","0"
"12","E1798FF8","GO301_24_2833","Atlantic Terminal","2833","1","76789C63W","1"
"12","E1798FF8","GO301_24_2834","Jamaica","2834","0","76789C63","0"
"12","E1798FF8","GO301_24_2835","Atlantic Terminal","2835","1","76789C63W","1"
"12","E1798FF8","GO301_24_2838","Jamaica","2838","0","76789C63","0"
"12","E1798FF8","GO301_24_2839","Atlantic Terminal","2839","1","76789C63W","1"
"12","E1798FF8","GO301_24_2842","Jamaica","2842","0","76789C63","0"
"12","E1798FF8","GO301_24_2843","Atlantic Terminal","2843","1","76789C63W","1"
"12","E1798FF8","GO301_24_2844","Jamaica","2844","0","76789C63","0"
"12","E1798FF8","GO301_24_2845","Atlantic Terminal","2845","1","76789C63W","1"
"12","E1798FF8","GO301_24_2846","Jamaica","2846","0","76789C63","0"
"12","E1798FF8","GO301_24_2847","Atlantic Terminal","2847","1","76789C63W","1"
